word,meaning
depot,（名）貯蔵庫、倉庫
plural,（形）複数の
forsake,（動）①（好きなことなど）をあきらめる、捨てる ②（人）を見捨てる、見放す
retrace,（動）〜を引き返す
naive,（形）単純な、世間知らずの
uptight,（形）いら立って、神経質になって
ornament,（名）装飾品、装身具
inhibit,（動）①（人）を抑える、抑制する ②（成長・進展など）を阻害する
smash,（動）①激突する ②粉々に壊れる
modest,（形）①謙虚な ②（数量などが）控えめな、そこそこの
hardy,（形）（人・動物が）頑丈な、丈夫な
entitle,（動）①（人）に資格［権利］を与える ②〜にタイトルをつける
taint,（動）（水・空気など）を汚す、汚染する
striking,（形）顕著な、著しい
indulgent,（形）甘やかす、寛大な
discreet,（形）①控えめな、目立たない ②用心深い、慎重な
incurable,（形）（病気などが）不治の、治せない
complement,（動）〜を補う、補完する
unsound,（形）（心身が）不健全な、不健康な
wield,（動）（権力・影響など）を行使する
dislocate,（動）①〜を脱臼させる ②（制度・計画など）を混乱させる、狂わせる
pledge,（動）〜を誓う
gargle,（動）うがいをする
contempt,（名）軽蔑、軽視
aggravate,（動）（問題・状況など）を悪化させる
horrify,（動）〜をぞっとさせる
vulgar,（形）（言動などが）下品な、（人・振る舞いなどが）粗野な
cordial,（形）心からの、友好的な
drift,（動）漂流する、漂う
circuit,（名）回路
blueprint,（名）（建築・機械の）設計図、青写真
vault,（動）跳び越える
ratio,（名）比率、割合
dismayed,（形）狼狽して、落胆して
trim,（動）〜を刈り込む、手入れする （形）（服装などが）きちんとした
ignition,（名）点火、引火
insight,（名）洞察力、識見
dismantle,（動）（機械など）を分解する、解体する
indefinite,（形）①不定の、決まっていない ②不明瞭な
cunning,（形）悪賢い、ずるい
scorn,（動）（人・考えなど）を軽蔑する、ばかにする
commencement,（名）開始、始まり
deteriorate,（動）（もの・状況・品質などが）悪化する
pathetic,（形）①（いらいらするほど）お粗末な、情けない ②哀れな
scrape,（動）〜をこする、こすって傷つける
perimeter,（名）周囲［周辺］の長さ
transcription,（名）文字起こし
chunk,（名）（パン・肉・木材などの）大きな塊
humble,（形）謙遜した、控えめな
simmer,（動）①ことこと煮える；〜をとろ火で煮る ②（暴力・怒りなどが）今にも爆発しそうである
monotonous,（形）単調な、変化のない
swift,（形）迅速な、素早い
premature,（形）時期尚早の
infinite,（形）無限の、無数の
deploy,（動）（部隊など）を展開させる、配置する
sterile,（形）①不妊の、無精子の、繁殖力のない ②（土地が）不毛の ③無菌の、殺菌した
maze,（名）迷路、迷宮
dreary,（形）①陰うつな、物寂しい ②つまらない、退屈な
eject,（動）①〜を追い出す、追い払う ②〜を外に出す、排出する
fluent,（形）（外国語などが）流ちょうな
disown,（動）〜を自分の所有物と認めない、〜との関係を否定する
attendant,（名）係員、接客係
vigilant,（形）警戒を怠らない、用心深い
cumulative,（形）（効果・影響などが）しだいに増える
enchant,（動）（人）を魅惑する、魅了する
candid,（形）率直な、遠慮のない
jumble,（動）（ものが）ごちゃ混ぜになる、（考えが）混乱する
momentary,（形）瞬間の
miniature,（形）小型の、縮小した
outpace,（動）〜より速く走る；〜より速く発展する
decline,（動）①減少する、低下する ②（〜を）断る （名）減少
reveal,（動）〜を明らかにする
associate,（動）〜を関連づける、結びつける （形）補助の、副〜
confirm,（動）〜を確認する、裏づける
renew,（動）①（免許・契約など）を更新する、継続する ②（休止していた行為など）を再開する
predict,（動）〜を予測する、予言する
conflict,（名）対立、衝突、紛争 （動）対立する、矛盾する
imply,（動）〜をほのめかす、暗に言う
restrict,（動）〜を制限する、限定する
circumstance,（名）状況、事情
symptom,（名）（病気の）兆候、症状
regulate,（動）①〜を規制する、取り締まる ②〜を調整する
emphasize,（動）〜を強調する
identify,（動）①〜を特定する ②〜を（…と）同一視する
reliable,（形）①（人・ものが）信頼できる ②（情報が）確かな
monitor,（動）〜を監視する （名）モニター、ディスプレー
update,（動）〜を改訂する、新しいものにする （名）最新情報
contrast,（動）対照を成す （名）対照
appropriate,（形）適切な、ふさわしい
adapt,（動）①適応する ②〜を適応させる ③〜を改作する
genetic,（形）遺伝の、遺伝的な
upgrade,（動）〜の性能［品質など］を上げる （名）性能［品質］の向上
commit,（動）①（罪・過失など）を犯す ②取り組む、専念する
breed,（動）①〜を繁殖させる、飼育する ②繁殖する （名）品種
inspire,（動）①（人）を奮い立たせる ②（人）に着想を与える
livestock,（名）家畜
exposure,（名）①（日光・風雨・危険などに）さらされること ②（メディアへの）露出
surrounding,（形）周囲の、周辺の
secure,（形）安全な、守られた （動）〜を確保する
federal,（形）連邦の、連邦政府の
commute,（名）通勤 （動）通勤する
aggressive,（形）①攻撃的な ②（人・態度などが）積極的な
sufficient,（形）十分な
settlement,（名）①入植、定住 ②居住地、集落 ③解決、和解
emerge,（動）出現する、姿を現す
sophisticated,（形）洗練された、（技術などが）精巧な
undergo,（動）①（試練・変化など）を経験する ②（手術・試験など）を受ける
revenue,（名）収入、歳入
disorder,（名）①（心身の）障害 ②無秩序
relevant,（形）（当面の問題に）関連のある、適切な
overlook,（動）①〜を見落とす、見過ごす ②〜を見下ろす、見渡す ③〜を大目に見る
negotiate,（動）①交渉する、協議する ②〜を交渉して取り決める
inhabitant,（名）住民、住人、生息動物
prohibit,（動）①（法・規則などが）〜を禁止する ②（物事が）〜を妨げる
witness,（動）〜を目撃する （名）①目撃者 ②証人
likelihood,（名）可能性
vital,（形）①極めて重要な ②生命維持に不可欠な
proponent,（名）（主義・方針などの）擁護者、支持者
dump,（動）①（ごみなど）を捨てる ②（人）を見捨てる、振る （名）ごみの山、ごみ捨て場
refund,（名）払い戻し、返金 （動）〜を払い戻す、返済する
scan,（動）①（人体など）を走査する、スキャンする ②〜を入念に調べる （名）走査、スキャン
stimulate,（動）①（器官など）を刺激する、活性化する ②（活動・感情など）を活気づける
context,（名）①状況・前後関係 ②文脈
massive,（形）（規模・量などが）大きい
reproduce,（動）①繁殖する；〜を繁殖させる ②〜を再現する
council,（名）（地方自治体の）議会
lobby,（動）議員に働きかける、ロビー活動をする （名）（ホテル・劇場などの）ロビー
inject,（動）（薬など）を注射する、注入する
remarkable,（形）注目すべき、並外れた
infrastructure,（名）インフラ、社会基盤設備
extract,（動）①（別の物質から）（物質）を抽出する、採取する ②（情報など）を聞き出す
plot,（動）〜を企む （名）①（物語などの）筋 ②（土地の）区画
innovation,（名）革新、（新しい事物の）導入
distinct,（形）①別個の、独特な、まったく異なる ②明瞭な、明確な
extinct,（形）絶滅した
personnel,（名）①人事部、人事課 ②（官庁・会社の）職員
shallow,（形）浅い
portion,（名）①部分、一部分 ②（食べ物の）一人前
advocate,（名）提唱者、主張者 （動）〜を提唱する、主張する
vessel,（名）①（大型の）船、船舶 ②血管
crawl,（動）①はう、腹ばいで進む ②（肌が）むずむずする、ぞっとする （名）徐行、のろのろ進むこと
era,（名）時代、時期、〜時代
drain,（名）①排水管［口］、排水設備 ②（人材・資本などの）流出 （動）〜の排水をする
motive,（名）動機
remedy,（名）①薬、治療 ②（問題に対する）解決策
rivalry,（名）競争、争い
fraction,（名）ごく一部
minimal,（形）最小限の、最低限の
grain,（名）穀物、穀類
legitimate,（形）①合法的な ②理にかなった、正当な
revise,（動）〜を修正する、改訂する
activate,（動）①〜を活性化する ②（機能・ライセンスなど）を有効にする
abuse,（名）①乱用、不正使用 ②虐待 （動）①〜を乱用する ②〜を虐待する
celebrity,（名）有名人
recession,（名）（一時的な）不景気、不況
vomit,（動）吐く、嘔吐する （名）嘔吐（物）
scheme,（名）①陰謀 ②事業計画 （動）（陰謀など）を企てる
closure,（名）閉鎖、閉店
retain,（動）〜を保つ、保持する
cautious,（形）用心深い、慎重な
viable,（形）実行可能な、成功の見込める
terrain,（名）地形、地勢、土地
toll,（名）①犠牲、死傷者数 ②通行料、使用料
agenda,（名）議題、議題一覧
desperate,（形）①切望する ②必死の、死に物狂いの
hatch,（動）①（ひな・卵が）ふ化する；（ひな・卵）をふ化させる ②（陰謀など）を企てる
surveillance,（名）（容疑者・囚人などの）監視、見張り
colonize,（動）①〜を植民地化する ②（生物が）〜にコロニーを作る
confidential,（形）（情報が）機密の、マル秘の
breakup,（名）（関係などの）解消、破局
corridor,（名）（建物・列車などの）廊下、通路
utility,（名）①（電気・ガス・水道などの）公共事業；公共料金 ②有用性 （形）多用途の
specimen,（名）標本、サンプル
input,（名）①情報［アイデア、アドバイス］の提供 ②入力
infamous,（形）悪名高い
publicity,（名）①注目、評判 ②広告、宣伝
currency,（名）通貨
undermine,（動）（自信・権威など）をひそかに傷つける、（健康など）をむしばむ
sweep,（動）①（嵐・疫病などが）激しい勢いで襲来する、広がる ②（床など）を掃く
horizontal,（形）水平の
torture,（名）①拷問 ②苦痛 （動）〜を拷問する
descent,（名）①血統、家系 ②下ること、降下
alienate,（動）〜を遠ざける、疎外する
submerge,（動）〜を水没させる；水没する
errand,（名）使い、使い走り
commodity,（名）①商品、売買品 ②有用なもの
outburst,（名）（感情の）爆発
comparable,（形）匹敵する、似通った
compile,（動）（情報など）をまとめる、編集する
inception,（名）（組織などの）発足、開始
aquatic,（形）水生の、水中に住む
grind,（動）（穀物・コーヒー豆など）をひく
upheaval,（名）大変動、激変
feast,（名）祝宴、宴会
scope,（名）範囲、領域
burden,（名）①負担、（精神的な）重荷 ②荷物
cram,（動）①〜を詰め込む ②詰め込み勉強をする
assault,（動）（人）を襲う、暴行する （名）暴行
acoustic,（形）音の、音響の
enact,（動）（法律など）を制定する
contend,（動）…と強く主張する
rubbish,（名）ごみ
projection,（名）予測、見積もり
generosity,（名）気前のよさ、寛大さ
